DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation
01M292,M292,Orchard Collegiate Academy,High School,Manhattan,197,4.139,0.155,4.294,0.871,0.893,0.5,0.196,81.1,68.9,0.096,0.269,0.569,0.03,0.036,28,28,28,172,6,112,53,19,7,4.0,2.701,2.325,0.97,0.917,0.711,0.117,0.289,0.183,0.782,0.75,0.289,Medium Graduation
01M448,M448,University Neighborhood High School,High School,Manhattan,483,6.908,0.548,7.456,0.83,0.939,0.727,0.768,68.8,70.5,0.369,0.195,0.383,0.046,0.007,99,99,99,401,22,185,94,178,3,0.7,2.967,2.994,0.967,0.909,0.726,0.147,0.17,0.18,0.723,0.6,0.274,Medium Graduation
01M450,M450,East Side Community School,High School,Manhattan,370,9.52,0.354,9.874,0.684,0.904,0.83,0.878,81.7,66.49,0.13,0.192,0.522,0.124,0.032,94,94,94,253,46,193,71,48,12,17.9,3.069,3.057,0.975,0.938,0.854,0.016,0.246,0.084,0.541,0.811,0.146,Medium Graduation
01M509,M509,Marta Valle High School,High School,Manhattan,127,2.768,0.205,2.973,0.812,0.917,0.722,0.264,67.1,59.9,0.071,0.37,0.512,0.024,0.023,36,36,36,103,3,65,47,9,3,4.1,2.785,2.364,0.969,0.796,0.372,0.063,0.276,0.134,0.74,0.385,0.628,Medium Graduation
01M539,M539,"New Explorations into Science, Technology and Math",High School,Manhattan,615,16.903,0.09,16.993,0.398,1.0,0.993,0.957,88.9,78.9,0.268,0.124,0.187,0.39,0.031,140,140,140,245,240,115,76,165,19,4.1,3.695,3.901,0.965,0.952,0.904,0.003,0.143,0.02,0.285,0.738,0.096,High Graduation
01M696,M696,Bard High School Early College,High School,Manhattan,615,7.574,0.023,7.597,0.403,0.987,0.98,1.0,90.0,71.6,0.293,0.111,0.171,0.398,0.027,150,150,150,248,245,105,68,180,17,8.9,3.884,4.104,0.97,0.948,0.886,0.002,0.076,0.026,0.293,0.868,0.114,High Graduation
02M047,M047,47 The American Sign Language and English Secondar,High School,Manhattan,196,4.408,0.129,4.538,0.77,0.925,0.675,0.513,76.2,67.7,0.031,0.276,0.643,0.046,0.004,40,40,40,151,9,126,54,6,1,11.1,2.925,2.694,0.975,0.9,0.648,0.046,0.27,0.163,0.673,0.364,0.352,Medium Graduation
02M135,M135,The Urban Assembly School for Emergency Management,High School,Manhattan,265,4.793,0.171,4.964,0.81,0.902,0.557,0.426,71.0,63.1,0.06,0.283,0.6,0.034,0.023,61,61,61,215,9,159,75,16,6,1.1,2.85,2.487,0.967,0.86,0.535,0.034,0.223,0.158,0.702,0.708,0.465,Medium Graduation
02M139,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,Manhattan,401,7.125,0.379,7.504,0.826,0.875,0.425,0.606,73.6,63.6,0.042,0.264,0.631,0.042,0.021,80,80,80,331,17,253,106,17,8,6.1,2.736,2.587,0.971,0.849,0.473,0.072,0.257,0.117,0.721,0.659,0.527,Medium Graduation
02M260,M260,The Clinton School,High School,Manhattan,433,8.503,0.016,8.519,0.247,0.897,0.874,0.741,91.0,66.49,0.111,0.055,0.143,0.628,0.063,87,87,87,107,272,62,24,48,27,7.9,3.677,3.618,0.973,0.946,0.851,0.005,0.18,0.009,0.152,0.735,0.149,Medium Graduation
02M280,M280,Manhattan Early College School for Advertising,High School,Manhattan,416,6.05,0.26,6.31,0.721,0.963,0.763,0.938,75.1,69.0,0.099,0.361,0.45,0.053,0.037,80,80,80,300,22,187,150,41,15,1.1,2.979,2.795,0.972,0.892,0.673,0.038,0.183,0.115,0.603,0.714,0.327,High Graduation
02M282,M282,Urban Assembly Maker Academy,High School,Manhattan,390,5.616,0.275,5.891,0.718,0.896,0.597,0.455,72.3,63.8,0.082,0.269,0.497,0.108,0.044,77,77,77,280,42,194,105,32,17,5.1,2.944,2.811,0.971,0.889,0.671,0.038,0.19,0.087,0.608,0.586,0.329,Medium Graduation
02M288,M288,Food and Finance High School,High School,Manhattan,375,5.768,0.335,6.103,0.775,0.854,0.341,0.439,78.1,63.9,0.059,0.36,0.539,0.029,0.013,82,82,82,291,11,202,135,22,5,15.1,2.806,2.618,0.945,0.88,0.605,0.032,0.197,0.104,0.683,0.793,0.395,Medium Graduation
02M294,M294,Essex Street Academy,High School,Manhattan,339,5.101,0.185,5.286,0.688,0.9,0.729,0.786,76.2,66.49,0.062,0.345,0.428,0.106,0.059,70,70,70,233,36,145,117,21,20,3.7,2.968,2.65,0.967,0.886,0.653,0.035,0.271,0.088,0.563,0.926,0.347,Medium Graduation
02M296,M296,High School of Hospitality Management,High School,Manhattan,380,5.349,0.466,5.816,0.87,0.76,0.48,0.26,75.3,66.1,0.05,0.276,0.645,0.018,0.011,100,100,100,331,7,245,105,19,4,6.9,2.668,2.351,0.971,0.841,0.579,0.092,0.261,0.158,0.789,0.786,0.421,Low Graduation
02M298,M298,Pace High School,High School,Manhattan,572,7.363,0.302,7.665,0.747,0.851,0.627,0.433,79.2,67.6,0.045,0.33,0.54,0.04,0.045,134,134,134,427,23,309,189,26,26,3.7,2.98,2.799,0.966,0.869,0.555,0.03,0.184,0.087,0.631,0.795,0.445,Medium Graduation
02M300,M300,"Urban Assembly School of Design and Construction,",High School,Manhattan,302,5.009,0.278,5.286,0.864,0.726,0.548,0.22,79.2,56.8,0.056,0.225,0.682,0.026,0.011,84,84,84,261,8,206,68,17,3,0.9,2.648,2.557,0.971,0.813,0.518,0.116,0.258,0.172,0.768,0.609,0.482,Low Graduation
