DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
01M292,M292,Orchard Collegiate Academy,High School,Manhattan,197,4.139,0.155,4.294,28.807,0.871,0.893,0.5,0.196,81.1,68.9,0.724,0.579,0.096,0.269,0.569,0.03,0.036,28,28,28,29,38,172,6,112,53,19,7,4.0,2.701,2.325,0.97,0.917,0.711,0.117,0.289,0.183,0.782,0.75,0.289,Medium Graduation,2015-16,Henry Street School for International Studies,220 HENRY STREET,10002,40.713684,-73.986336,Lower East Side                                                            
01M448,M448,University Neighborhood High School,High School,Manhattan,483,6.908,0.548,7.456,21.152,0.83,0.939,0.727,0.768,68.8,70.5,0.761,0.833,0.369,0.195,0.383,0.046,0.007,99,99,99,88,78,401,22,185,94,178,3,0.7,2.967,2.994,0.967,0.909,0.726,0.147,0.17,0.18,0.723,0.6,0.274,Medium Graduation,2015-16,University Neighborhood High School,200 MONROE STREET,10002,40.712399,-73.98449699999999,Lower East Side                                                            
01M450,M450,East Side Community School,High School,Manhattan,370,9.52,0.354,9.874,21.194,0.684,0.904,0.83,0.878,81.7,66.49,0.815,0.909,0.13,0.192,0.522,0.124,0.032,94,94,94,92,88,253,46,193,71,48,12,17.9,3.069,3.057,0.975,0.938,0.854,0.016,0.246,0.084,0.541,0.811,0.146,Medium Graduation,2015-16,East Side Community School,420 EAST 12 STREET,10009,40.729589000000004,-73.982555,East Village                                                               
01M509,M509,Marta Valle High School,High School,Manhattan,127,2.768,0.205,2.973,33.702,0.812,0.917,0.722,0.264,67.1,59.9,0.525,0.534,0.071,0.37,0.512,0.024,0.023,36,36,36,40,58,103,3,65,47,9,3,4.1,2.785,2.364,0.969,0.796,0.372,0.063,0.276,0.134,0.74,0.385,0.628,Medium Graduation,2015-16,Marta Valle High School,145 STANTON STREET,10002,40.720581,-73.98564499999999,Chinatown                                                                  
01M539,M539,"New Explorations into Science, Technology and Math",High School,Manhattan,615,16.903,0.09,16.993,16.571,0.398,1.0,0.993,0.957,88.9,78.9,0.921,0.951,0.268,0.124,0.187,0.39,0.031,140,140,140,127,183,245,240,115,76,165,19,4.1,3.695,3.901,0.965,0.952,0.904,0.003,0.143,0.02,0.285,0.738,0.096,High Graduation,2015-16,"New Explorations into Science, Technology and Math",111 COLUMBIA STREET,10002,40.718895,-73.97930799999999,Lower East Side                                                            
01M696,M696,Bard High School Early College,High School,Manhattan,615,7.574,0.023,7.597,19.17,0.403,0.987,0.98,1.0,90.0,71.6,0.978,0.991,0.293,0.111,0.171,0.398,0.027,150,150,150,135,113,248,245,105,68,180,17,8.9,3.884,4.104,0.97,0.948,0.886,0.002,0.076,0.026,0.293,0.868,0.114,High Graduation,2015-16,Bard High School Early College,525 EAST HOUSTON STREET,10002,40.719029,-73.975891,Lower East Side                                                            
02M047,M047,47 The American Sign Language and English Secondar,High School,Manhattan,196,4.408,0.129,4.538,29.476,0.77,0.925,0.675,0.513,76.2,67.7,0.743,0.8,0.031,0.276,0.643,0.046,0.004,40,40,40,35,35,151,9,126,54,6,1,11.1,2.925,2.694,0.975,0.9,0.648,0.046,0.27,0.163,0.673,0.364,0.352,Medium Graduation,2015-16,47 The American Sign Language and English Secondar,223 EAST 23 STREET,10010,40.738548,-73.982455,Gramercy                                                                   
02M135,M135,The Urban Assembly School for Emergency Management,High School,Manhattan,265,4.793,0.171,4.964,24.031,0.81,0.902,0.557,0.426,71.0,63.1,0.635,0.75,0.06,0.283,0.6,0.034,0.023,61,61,61,74,92,215,9,159,75,16,6,1.1,2.85,2.487,0.967,0.86,0.535,0.034,0.223,0.158,0.702,0.708,0.465,Medium Graduation,2015-16,The Urban Assembly School for Emergency Management,411 PEARL STREET,10038,40.711442,-74.000851,Chinatown                                                                  
02M139,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,Manhattan,401,7.125,0.379,7.504,25.34,0.826,0.875,0.425,0.606,73.6,63.6,0.549,0.52,0.042,0.264,0.631,0.042,0.021,80,80,80,102,75,331,17,253,106,17,8,6.1,2.736,2.587,0.971,0.849,0.473,0.072,0.257,0.117,0.721,0.659,0.527,Medium Graduation,2015-16,Stephen T. Mather Building Arts & Craftsmanship Hi,439 WEST 49TH STREET,10019,40.76337,-73.990593,Clinton                                                                    
02M280,M280,Manhattan Early College School for Advertising,High School,Manhattan,416,6.05,0.26,6.31,21.771,0.721,0.963,0.763,0.938,75.1,69.0,0.845,0.698,0.099,0.361,0.45,0.053,0.037,80,80,80,84,151,300,22,187,150,41,15,1.1,2.979,2.795,0.972,0.892,0.673,0.038,0.183,0.115,0.603,0.714,0.327,High Graduation,2015-16,Manhattan Early College School for Advertising,411 PEARL STREET,10038,40.711442,-74.000851,Chinatown                                                                  
